categorias,strain,X..Delta9-THC,X..CBD
['Hybrid'],strawberry-diesel,5.5,0.0
['Indica'],sensi-star,18.54,0.18
['Indica'],vanilla-kush,15.7,0.18
['Indica'],blackwater,18.4,0.01
['Indica'],sunshine-daydream,0.95,0.01
['Hybrid'],cannatonic,0.9,10.19
['Hybrid'],sour-banana-sherbet,22.6,0.15
['Sativa'],amnesia-haze,0.45,0.01
['Hybrid'],white-diesel,0.01,0.01
['Sativa'],malawi,0.58,0.01
['Indica'],gigabud,0.01,0.01
['Sativa'],hurricane,19.8,0.01
['Hybrid'],pink-panther,16.0,0.15
['Indica'],critical-kush,16.7,0.14
['Indica'],alien-kush,0.76,0.01
['Sativa'],hawaiian-snow,10.1,0.01
['Hybrid'],heavy-duty-fruity,18.0,0.15
['Indica'],super-skunk,19.2,0.02
['Sativa'],super-green-crack,14.8,0.11
['Hybrid'],orange-bud,0.55,0.01
['Indica'],platinum-kush,15.5,0.15
['Sativa'],super-lemon-haze,17.7,0.12
['Sativa'],chocolope,21.4,0.14
['Indica'],flo-og,0.4,0.0
['Hybrid'],iced-grapefruit,16.7,0.31
['Hybrid'],sour-kush,23.4,0.18
['Hybrid'],julius-caesar,19.5,0.01
['Hybrid'],citrus-sap,18.8,0.14
['Hybrid'],orange-cookies,26.1,0.04
['Indica'],sugar-black-rose,20.2,0.14
['Hybrid'],apollo-13,17.5,0.44
['Hybrid'],orange-creamsicle,22.2,0.16
['Hybrid'],lemon-og,0.49,0.0
['Indica'],pennywise,16.1,0.14
['Hybrid'],dutch-treat-haze,17.5,0.27
['Indica'],plushberry,14.5,0.01
['Sativa'],fruit-punch,0.52,0.01
['Hybrid'],tangerine-haze,20.1,0.01
['Sativa'],sour-tangie,15.6,0.14
['Sativa'],purple-tangie,10.5,0.01
['Hybrid'],double-tangie-banana,0.5,0.01
['Hybrid'],blue-diesel,0.43,0.01
['Sativa'],allen-wrench,16.2,0.14
['Sativa'],jamaican,0.43,0.01
['Indica'],training-day,18.5,0.21
['Indica'],mazar-kush,11.8,0.15
['Hybrid'],agent-orange,0.28,0.01
['Hybrid'],white-lightning,0.96,0.01
['Indica'],white-og,17.0,0.13
['Indica'],bubblegum-kush,17.9,0.01
['Sativa'],lime-skunk,15.2,0.14
['Sativa'],sourlope,0.53,0.01
['Indica'],purple-elephant,16.4,0.12
['Hybrid'],ogiesel,14.9,0.12
['Hybrid'],ice-cream,2.6,4.4
['Hybrid'],blueberry-headband,14.9,0.01
['Indica'],cuvee,17.4,0.2
['Sativa'],sage-n-sour,12.2,0.01
['Hybrid'],sfv-og,22.8,0.02
['Sativa'],vortex,16.7,0.23
['Indica'],monster-cookies,19.0,0.2
['Sativa'],amnesia,0.65,0.01
['Hybrid'],tangerine-power,17.3,0.01
['Sativa'],lemon-jack,0.38,0.01
['Sativa'],quantum-kush,25.5,0.0
['Hybrid'],stardawg,0.77,0.01
['Hybrid'],purple-trainwreck,1.0,0.0
['Sativa'],power-plant,0.67,0.01
['Hybrid'],cookies-and-cream,22.7,0.13
['Hybrid'],rug-burn-og,2.21,0.01
['Hybrid'],bubble-gum,0.23,0.01
['Hybrid'],chemdawg-sour-diesel,0.4,0.0
['Indica'],pre-98-bubba-kush,10.0,0.02
['Indica'],critical-mass,15.7,0.14
['Hybrid'],bruce-banner,3.5,5.2
['Hybrid'],sugar-cookie,26.4,0.02
['Indica'],triangle-kush,17.7,0.18
['Hybrid'],orange-crush,0.24,0.01
['Hybrid'],berry-bomb,18.1,0.02
['Hybrid'],chernobyl,29.1,0.02
['Indica'],do-si-dos,0.56,0.01
['Hybrid'],super-blue-dream,14.1,0.14
