Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
White Truffle (B),0.25,0.12,0.1,0.09,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
White Truffle (A),0,0.16,0.07,0.07,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.31,0,0,0
Mac Stomper (A),0.13,0.04,0.1,0.11,0.2,0.02,0.03,0,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0,0.03,0,0
Mac Stomper (B),0.13,0.05,0.12,0.11,0.19,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0,0.03,0,0
Black Ice (B),0,0.11,0.06,0.04,0.07,0.02,0.1,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.26,0,0,0
Trop Cherry,0.16,0.07,0.05,0.04,0.19,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
Black Ice (A),0,0.11,0.04,0.03,0.05,0.01,0.11,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.21,0,0,0
Blue Party Hat,0.12,0.06,0.07,0.05,0.15,0.02,0.27,0.01,0.01,0,0.01,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.01,0,0,0,0
RS11,0.14,0.06,0.07,0.05,0.17,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0,0,0
Loud Mouth Grapes,0.14,0.06,0.13,0.14,0.12,0.03,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0,0,0.01,0
Permanent Marker,0.16,0.07,0.09,0.08,0.29,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0,0.01,0.01,0
Zkittles,0.17,0.05,0.07,0.04,0.27,0.02,0,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.32,0,0.01,0
Tropicana Cherry,0.16,0.07,0.04,0.03,0.15,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
MACv2,0.21,0.08,0.2,0.35,0.1,0.03,0.07,0.02,0.03,0.02,0.01,0.01,0.01,0.11,0.01,0.01,0.02,0.02,0.02,0,0.01,0,0.01
MUSK1,0.17,0.06,0.07,0.05,0.12,0.02,0.11,0,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0
Purple Diesel,0.16,0.05,0.15,0.15,0.13,0.03,0.15,0.01,0.02,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.02,0.01,0.01,0,0,0.01,0
Runtz,0.14,0.05,0.05,0.03,0.16,0.02,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.16,0,0,0
